Date,EFA,GLD,HYG,IWM,LQD,QQQ,SPY,TLT
2007-04-11,44.219478607177734,67.08000183105469,32.02199172973633,62.19506072998047,50.45319366455078,37.935264587402344,101.38284301757812,48.60700607299805
2007-04-12,44.514739990234375,66.98999786376953,32.04347229003906,62.61328887939453,50.52909851074219,38.23561477661133,101.83338928222656,48.618099212646484
2007-04-13,44.662357330322266,67.83999633789062,31.98517417907715,63.01604080200195,50.44367218017578,38.312835693359375,102.29798889160156,48.46792221069336
2007-04-16,45.13362503051758,68.4000015258789,31.972890853881836,63.88357162475586,50.48639678955078,38.66462326049805,103.26943969726562,48.734981536865234
2007-04-17,45.139305114746094,68.0,31.95754051208496,63.68989181518555,50.761600494384766,38.75044631958008,103.54401397705078,49.007564544677734
2007-04-18,45.122276306152344,68.37999725341797,31.96677589416504,63.31813049316406,50.77589416503906,38.62172317504883,103.67066192626953,49.25233459472656
2007-04-19,44.95192337036133,67.52999877929688,32.077232360839844,63.01604080200195,50.809078216552734,38.74185562133789,103.64250946044922,49.168914794921875
2007-04-20,45.46861267089844,68.69999694824219,32.0588264465332,63.75187683105469,50.79481887817383,38.956382751464844,104.62101745605469,49.04092025756836
2007-04-23,45.0257568359375,68.26000213623047,32.077232360839844,63.68217468261719,50.94198226928711,39.01642608642578,104.22676849365234,49.218971252441406
2007-04-24,44.99736022949219,67.7300033569336,32.298179626464844,63.6512336730957,51.07008743286133,39.21379852294922,104.26903533935547,49.40254211425781
2007-04-25,45.417518615722656,67.88999938964844,32.34727478027344,63.82933044433594,50.998924255371094,39.737213134765625,105.22640228271484,49.23011016845703
2007-04-26,45.20744323730469,66.87000274658203,32.405582427978516,64.18560791015625,50.88973617553711,39.94314193725586,105.34612274169922,48.874027252197266
2007-04-27,45.110923767089844,67.55999755859375,32.405582427978516,63.91452407836914,50.87554931640625,39.96031188964844,105.2615737915039,48.8629264831543
2007-04-30,44.946250915527344,67.08999633789062,32.40864181518555,62.535865783691406,51.12228012084961,39.436885833740234,104.38867950439453,49.37472915649414
2007-05-01,44.90083694458008,66.69000244140625,32.41265869140625,62.791439056396484,51.09368896484375,39.40256881713867,104.65624237060547,49.41050720214844
2007-05-02,45.241493225097656,66.66000366210938,32.40032958984375,63.627925872802734,51.079410552978516,39.831600189208984,105.26863098144531,49.38258743286133
2007-05-03,45.303958892822266,67.48999786376953,32.40342712402344,63.74412155151367,51.007904052734375,39.97749328613281,105.8388442993164,49.27089309692383
2007-05-04,45.729793548583984,68.19000244140625,32.44340896606445,64.14686584472656,51.13182830810547,40.01179122924805,106.24009704589844,49.471927642822266
2007-05-07,45.797943115234375,68.25,32.440345764160156,63.96102523803711,51.19375991821289,40.01179122924805,106.2612075805664,49.60589599609375
2007-05-08,45.423187255859375,67.87999725341797,32.464962005615234,63.73637390136719,51.165191650390625,40.09761047363281,106.12040710449219,49.49419403076172
2007-05-09,45.67302322387695,67.44999694824219,32.37881088256836,63.99195861816406,51.084136962890625,40.18341827392578,106.40904235839844,49.298797607421875
2007-05-10,44.770233154296875,66.0,32.49573516845703,63.201961517333984,51.10795211791992,39.63425064086914,105.29681396484375,49.416072845458984
2007-05-11,45.5254020690918,66.44999694824219,32.51422119140625,63.775108337402344,51.05553436279297,40.14048767089844,106.19786834716797,49.24296569824219
2007-05-14,45.35506057739258,66.27999877929688,32.51112747192383,63.21746063232422,51.003150939941406,39.86593246459961,105.9655532836914,49.11459732055664
2007-05-15,45.434532165527344,66.54000091552734,32.486488342285156,62.71399688720703,50.88871383666992,39.5570182800293,105.99370574951172,49.097782135009766
2007-05-16,45.5026969909668,65.5999984741211,32.572669982910156,63.05479049682617,51.007904052734375,39.94314193725586,106.71874237060547,49.06432342529297
2007-05-17,45.269893646240234,65.05999755859375,32.56343460083008,62.566810607910156,50.8553581237793,39.7543830871582,106.50758361816406,48.86326599121094
2007-05-18,45.616241455078125,65.5199966430664,32.572669982910156,63.30262756347656,50.71234130859375,40.08043670654297,107.43679809570312,48.539398193359375
2007-05-21,45.40617370605469,65.66999816894531,32.603431701660156,64.10041046142578,50.77908706665039,40.33785629272461,107.38050842285156,48.684574127197266
2007-05-22,45.445892333984375,65.19999694824219,32.60653305053711,64.49536895751953,50.617034912109375,40.372188568115234,107.29605102539062,48.433319091796875
2007-05-23,45.6787109375,65.54000091552734,32.58192443847656,64.32504272460938,50.56936264038086,40.18341827392578,107.31009674072266,48.29370880126953
2007-05-24,45.241493225097656,64.75,32.59114074707031,63.48080825805664,50.63131332397461,39.6085090637207,106.33869934082031,48.33838653564453
2007-05-25,45.531070709228516,64.94000244140625,32.63727951049805,63.891258239746094,50.597957611083984,39.85733413696289,106.78211975097656,48.226688385009766
2007-05-29,45.58785629272461,65.06999969482422,32.508033752441406,64.47994232177734,50.49788284301758,40.1662483215332,107.1693115234375,48.221107482910156
2007-05-30,45.780906677246094,64.72000122070312,32.58192443847656,64.91365051269531,50.535980224609375,40.4923210144043,108.04218292236328,48.321632385253906
2007-05-31,46.008018493652344,65.54000091552734,32.529563903808594,65.26993560791016,50.49309539794922,40.68109893798828,107.9295654296875,48.2323112487793
2007-06-01,46.30895233154297,66.44000244140625,32.5252571105957,65.6030044555664,50.299617767333984,40.70684051513672,108.46455383300781,47.978919982910156
